Airbnb_ListingID,City,Neighbourhood,Lat,Lng,RoomType_Clean,RoomAndPropertyType,PersonCapacity,Bathrooms,Bedrooms,Beds,BasicNightPrice,StarRating,LocationRating,CleanlinessRating,ValueRating,AccuracyRating,CheckinRating,CommunicationRating,ReviewCount,AvailableMoreThan30Days,PriceCategory,RatingBand,PropertySize,AvailabilityStatus
1.2405E+18,Pune,Chakankar Mala,18.5697,73.7815,Entire Home,Entire rental unit,4,2,2,2,3321,4.93,4.77,4.87,4.83,4.87,4.9,4.93,30,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.39527E+18,Hinjawadi,Maan,18.5688,73.7219,Private Room,Private room in rental unit,2,1,1,1,1791,4.75,4.7,4.85,4.75,4.7,4.8,4.85,20,1,Budget,4.5-4.75,Small,Available >30 Days
1.40202E+18,Pune,Gahunje,18.6644,73.7082,Entire Home,Entire rental unit,4,1,1,1,3384,4.9,4.9,4.85,4.9,4.9,4.9,4.9,20,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.51224E+18,Pune,Unknown,18.54315,73.94252,Entire Home,Entire rental unit,3,1,1,1,2887,5,4.88,4.88,4.88,5,4.88,5,8,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.51382E+18,Pune,Unknown,18.5074,73.8306,Shared Room,Shared room in guest house,1,4,1,1,1123,4.82,4.8,4.77,,,,,0,1,Budget,4.75-5.0,Small,Available >30 Days
1.51392E+18,Pune,Kalyani Nagar,18.55094,73.89694,Private Room,Private room in bed and breakfast,4,2,1,1,3470,4.82,4.8,4.77,,,,,0,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.51393E+18,Pune,Unknown,18.55315,73.89759,Private Room,Private room in bed and breakfast,2,1,1,1,2267,4.82,4.8,4.77,,,,,0,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.59485E+18,Pune,Unknown,18.57312,73.90808,Entire Home,Entire rental unit,6,3,3,3,8401,5,5,5,5,5,5,5,3,1,Luxury,4.75-5.0,Large,Available >30 Days
1.59546E+18,Pune,Unknown,18.513,73.9061,Private Room,Private room in rental unit,2,1,1,1,2572,5,5,5,5,5,5,5,1,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.59842E+18,Pimpri-Chinchwad,Shankar Kalat Nagar,18.62882,73.74325,Entire Home,Entire rental unit,3,1,1,1,2046,4.82,4.8,4.77,,,,,0,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
29565815,Pune,Unknown,18.53078,73.91256,Serviced Apartment,Entire serviced apartment,4,1.5,1,1,4092,4.58,4.77,4.42,4.35,4.48,4.74,4.84,31,1,Premium,4.5-4.75,Medium,Available >30 Days
30056176,Pune,Unknown,18.5604,73.8111,Entire Home,Entire apartment,3,1,1,1,2303,4.68,4.85,4.59,4.54,4.7,4.83,4.85,186,1,Mid-Range,4.5-4.75,Medium,Available >30 Days
8.77472E+17,Pune,Unknown,18.50588,73.83558,Entire Home,Entire home,4,2,2,2,6724,4.91,4.7,4.78,4.7,4.91,4.96,4.91,23,1,Premium,4.75-5.0,Medium,Available >30 Days
8.85973E+17,Pune,Shivneri Park,18.56885,73.77946,Hotel,Room in hotel,3,1,1,1,2252,4,3.67,4,3.67,3.33,3.5,3.83,6,1,Mid-Range,3.0-4.0,Medium,Available >30 Days
8.85976E+17,Pune,Shivneri Park,18.56876,73.77972,Hotel,Room in hotel,2,1,1,1,1871,4,5,3.75,4,3.75,5,4.5,4,1,Budget,3.0-4.0,Small,Available >30 Days
8.86074E+17,Pune,Unknown,18.58654,73.83213,Entire Home,Entire home,10,5,5,5,29469,4.82,4.8,4.77,,,,,0,1,Luxury,4.75-5.0,Large,Available >30 Days
8.90965E+17,Pune,Unknown,18.57579,73.90767,Private Room,Private room in rental unit,16,4,4,4,11726,5,5,5,5,5,5,5,3,1,Luxury,4.75-5.0,Large,Available >30 Days
1.08948E+18,Pune,Unknown,18.54447,73.83392,Private Room,Private room in bed and breakfast,2,1,1,1,2231,4.67,5,4,4.33,4,5,5,3,1,Mid-Range,4.5-4.75,Small,Available >30 Days
1.1121E+18,Pune,Unknown,18.4783,73.9148,Hotel,Room in hotel,10,3,3,3,4400,4.82,4.8,4.77,,,,,0,1,Premium,4.75-5.0,Large,Available >30 Days
1.3248E+18,Pune,Unknown,18.5464,73.7792,Entire Home,Entire rental unit,4,1,1,1,2338,4.71,4.79,4.67,4.59,4.75,4.78,4.81,63,1,Mid-Range,4.5-4.75,Medium,Available >30 Days
1.33166E+18,Pune,Unknown,18.45894645,73.81959445,Entire Home,Entire apartment,4,2,2,2,5847,4.69,4.88,4.38,4.63,4.69,4.94,4.75,16,1,Premium,4.5-4.75,Medium,Available >30 Days
1.33265E+18,Pune,Bhugaon,18.4999,73.7623,Serviced Apartment,Entire serviced apartment,6,2,2,2,1636,4.67,4.4,4.73,4.53,4.67,4.8,4.8,15,1,Budget,4.5-4.75,Large,Available >30 Days
1.33525E+18,Pune,Unknown,18.5159,73.8697,Serviced Apartment,Entire serviced apartment,4,1,1,1,1752,3.29,3.43,3.43,3.43,4,4.29,4.29,7,1,Budget,3.0-4.0,Medium,Available >30 Days
1.33544E+18,Pune,Manter Wadi,18.4553,73.9326,Private Room,Private room in rental unit,2,2,1,1,1204,4.13,4.38,4.25,3.88,4.13,4.13,4.63,8,1,Budget,4.0-4.5,Small,Available >30 Days
1.47593E+18,Pimpri-Chinchwad,Tathawade,18.62158,73.73859,Private Room,Private room in apartment,1,1,1,1,1461,5,5,5,5,5,5,5,2,1,Budget,4.75-5.0,Small,Available >30 Days
1.47596E+18,Pimpri-Chinchwad,Tathawade,18.62075901,73.73847183,Entire Home,Entire apartment,2,1,1,1,2605,5,4.83,4.83,4.83,5,5,5,6,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.47907E+18,Pune,Unknown,18.53769947,73.89810832,Entire Home,Entire rental unit,4,2,2,2,6199,4.72,4.83,4.79,4.66,4.79,4.48,4.72,29,1,Premium,4.5-4.75,Medium,Available >30 Days
1.54805E+18,Pune,Unknown,18.44691,73.92294,Entire Home,Entire apartment,2,1,1,1,3036,5,5,5,5,5,5,5,5,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.54839E+18,Pune,Gorhe,18.40879578,73.76844027,Entire Home,Entire bungalow,8,2,2,2,4911,5,5,5,5,5,5,5,1,1,Premium,4.75-5.0,Large,Available >30 Days
1.54872E+18,Pune,Unknown,18.54167,73.88778,Entire Home,Entire rental unit,2,1,1,1,2822,4,4,5,5,5,4,5,1,1,Mid-Range,3.0-4.0,Small,Available >30 Days
1.54904E+18,Pune,Unknown,18.54163,73.88807,Entire Home,Entire rental unit,3,1,1,1,2918,4.82,4.8,4.77,,,,,0,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.54924E+18,Pune,Unknown,18.54159,73.88804,Entire Home,Entire rental unit,2,1,1,1,2888,3,3,5,3,3,3,5,1,1,Mid-Range,Below 3,Small,Available >30 Days
15531333,Pune,Unknown,18.5402,73.89038,Private Room,Private room in apartment,2,1,1,1,1737,4.89,4.94,4.78,4.91,4.91,4.97,4.96,229,1,Budget,4.75-5.0,Small,Available >30 Days
1.6165E+18,Pune,Unknown,18.5667,73.9171,Entire Home,Entire rental unit,6,2,2,2,3297,5,5,5,5,5,5,5,3,1,Mid-Range,4.75-5.0,Large,Available >30 Days
1.61813E+18,Pune,Balewadi Phata,18.56637404,73.78651379,Entire Home,Entire rental unit,3,1,1,1,2688,4.82,4.8,4.77,,,,,0,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.61966E+18,Pune,Unknown,18.5322,73.9162,Entire Home,Entire rental unit,3,1,1,1,2034,5,5,5,5,5,5,5,2,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.61996E+18,Pimpri-Chinchwad,Sakhare Vasti,18.5892,73.73857,Entire Home,Entire rental unit,3,2,2,2,2979,5,4.67,4.33,5,5,5,5,3,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
52004667,Pune,Gahunje,18.66334,73.7092,Entire Home,Entire apartment,4,1,1,1,2357,4.86,4.91,4.86,4.8,4.9,4.92,4.9,90,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
52965489,Pune,Gahunje,18.66119,73.70962,Entire Home,Entire apartment,4,1,1,1,4092,5,5,4.71,4.86,5,5,5,7,1,Premium,4.75-5.0,Medium,Available >30 Days
